category,extid,label,namespace,parent,priority,species,species_id,syn,syn_typ,pref_lbl,pref_id,enabled
gene,PR:000001839,T-cell surface glycoprotein CD5,protein,,4.0,any,3.0,Lyt-1,exact,CD5,PR:000001839,True
gene,PR:000001288,B-cell receptor CD22,protein,,2.0,any,3.0,Lyb-8,related,CD22,PR:000001288,True
gene,PR:000001287,CD72 molecule,protein,,4.0,any,3.0,Lyb-2,exact,CD72,PR:000001287,True
gene,PR:000001298,CD180 molecule,protein,,2.0,any,3.0,Ly78,related,CD180,PR:000001298,True
gene,PR:000002037,complement component C1q receptor,protein,,2.0,any,3.0,Ly68,related,CD93,PR:000002037,True
gene,PR:000001409,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,protein,,2.0,any,3.0,Ly65,related,CD157,PR:000001409,True
gene,PR:000001965,tumor necrosis factor receptor superfamily member 9,protein,,2.0,any,3.0,Ly63,related,CD137,PR:000001965,True
gene,PR:000002977,killer cell lectin-like receptor subfamily B member 1C,protein,,2.0,any,3.0,Ly55c,related,CD161c,PR:000002977,True
gene,PR:000009624,killer cell lectin-like receptor subfamily B member 1A,protein,,2.0,any,3.0,Ly55a,related,CD161a,PR:000009624,True
gene,PR:000009624,killer cell lectin-like receptor subfamily B member 1A,protein,,2.0,any,3.0,Ly55,related,CD161a,PR:000009624,True
gene,PR:000001287,CD72 molecule,protein,,2.0,any,3.0,Ly32,related,CD72,PR:000001287,True
gene,PR:000001318,L-selectin,protein,,2.0,any,3.0,Ly22,related,CD62L,PR:000001318,True
gene,PR:000014913,SLAM family member 6,protein,,2.0,any,3.0,Ly108,related,CD352,PR:000014913,True
gene,PR:000001842,T-lymphocyte surface antigen Ly-9,protein,,2.0,any,3.0,Ly-9,related,CD229,PR:000001842,True
gene,PR:000002037,complement component C1q receptor,protein,,4.0,any,3.0,Ly-68,exact,CD93,PR:000002037,True
gene,PR:000001409,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,protein,,4.0,any,3.0,Ly-65,exact,CD157,PR:000001409,True
gene,PR:000001289,membrane-spanning 4-domains subfamily A member 1,protein,,2.0,any,3.0,Ly-44,related,CD20,PR:000001289,True
gene,PR:000001085,T-cell surface glycoprotein CD8 beta chain,protein,,2.0,any,3.0,Ly-3,related,CD8B,PR:000001085,True
gene,PR:000001155,Toll-like receptor 4,protein,,2.0,any,3.0,Lps,related,CD284,PR:000001155,True
gene,PR:000001706,sphingosine 1-phosphate receptor 1,protein,,2.0,any,3.0,Lpb1,related,CD363,PR:000001706,True
gene,PR:000006193,CMRF35-like molecule 5,protein,,2.0,any,3.0,Lmir4,related,Clm5,PR:000006193,True
gene,PR:000005168,CMRF35-like molecule 1,protein,,2.0,any,3.0,Lmir3,related,CD300f,PR:000005168,True
gene,PR:000001414,CMRF35-like molecule 8,protein,,2.0,any,3.0,Lmir1,related,CD300A,PR:000001414,True
gene,PR:000001011,integrin alpha-L,protein,,2.0,any,3.0,Lfa-1,related,CD11a,PR:000001011,True
gene,PR:000002031,aminopeptidase N,protein,,2.0,any,3.0,Lap1,related,CD13,PR:000002031,True
gene,PR:000002031,aminopeptidase N,protein,,2.0,any,3.0,Lap-1,related,CD13,PR:000002031,True
gene,PR:000001318,L-selectin,protein,,2.0,any,3.0,LYAM1,related,CD62L,PR:000001318,True
gene,PR:000001894,natural cytotoxicity triggering receptor 2,protein,,2.0,any,3.0,LY95,related,CD336,PR:000001894,True
gene,PR:000001893,natural cytotoxicity triggering receptor 1,protein,,2.0,any,3.0,LY94,related,CD335,PR:000001893,True
gene,PR:000001842,T-lymphocyte surface antigen Ly-9,protein,,4.0,any,3.0,LY9,exact,CD229,PR:000001842,True
gene,PR:000001026,lymphocyte antigen 75,protein,,4.0,any,3.0,LY75,exact,CD205,PR:000001026,True
gene,PR:000001298,CD180 molecule,protein,,2.0,any,3.0,LY64,related,CD180,PR:000001298,True
gene,PR:000001895,natural cytotoxicity triggering receptor 3,protein,,2.0,any,3.0,LY117,related,CD337,PR:000001895,True
gene,PR:000013466,protein tyrosine phosphatase receptor type C-associated protein,protein,,4.0,any,3.0,LSM-1,exact,CD45-AP,PR:000013466,True
gene,PR:000005508,Cip1-interacting zinc finger protein,protein,,2.0,any,3.0,LSFR1,related,NP94,PR:000005508,True
gene,PR:000002058,low-density lipoprotein receptor-related protein 1,protein,,4.0,any,3.0,LRP1,exact,CD91,PR:000002058,True
gene,PR:000002058,low-density lipoprotein receptor-related protein 1,protein,,4.0,any,3.0,LRP-1,exact,CD91,PR:000002058,True
gene,PR:000009910,lipopolysaccharide-responsive and beige-like anchor protein,protein,,4.0,any,3.0,LRBA,exact,CDC4L,PR:000009910,True
gene,PR:000008998,interleukin-21 receptor,protein,,4.0,any,3.0,LR-beta,exact,CD360,PR:000008998,True
gene,PR:000013466,protein tyrosine phosphatase receptor type C-associated protein,protein,,2.0,any,3.0,LPAP,related,CD45-AP,PR:000013466,True
organism-gene,PR:Q8TB96,T-cell immunomodulatory protein (human),protein,PR:000009123,2.0,human,2.0,LNKN-1,related,CDA08,PR:Q8TB96,True
gene,PR:000001318,L-selectin,protein,,2.0,any,3.0,LNHR,related,CD62L,PR:000001318,True
gene,PR:000009868,serine/threonine-protein kinase LMTK2,protein,,4.0,any,3.0,LMTK2,exact,LMR2,PR:000009868,True
gene,PR:000003535,serine/threonine-protein kinase LMTK1,protein,,2.0,any,3.0,LMTK1,related,LMR1,PR:000003535,True
gene,PR:000009868,serine/threonine-protein kinase LMTK2,protein,,2.0,any,3.0,LMR2,related,LMR2,PR:000009868,True
gene,PR:000003535,serine/threonine-protein kinase LMTK1,protein,,2.0,any,3.0,LMR1,related,LMR1,PR:000003535,True
gene,PR:000005166,CMRF35-like molecule 7,protein,,2.0,any,3.0,LMIR5,related,CD300b,PR:000005166,True
gene,PR:000005568,C-type lectin domain family 4 member A,protein,,2.0,any,3.0,LLIR,related,LLIR,PR:000005568,True
organism-gene,PR:Q9H305,cell death-inducing p53-target protein 1 (human),protein,,2.0,human,2.0,LITAFL,related,CDIP,PR:Q9H305,True
gene,PR:000001952,tumor necrosis factor receptor superfamily member 10C,protein,,2.0,any,3.0,LIT,related,CD263,PR:000001952,True
gene,PR:000009806,leukocyte immunoglobulin-like receptor subfamily A member 5,protein,,2.0,any,3.0,LIR9,related,CD85f,PR:000009806,True
gene,PR:000009812,leukocyte immunoglobulin-like receptor subfamily B member 5,protein,,2.0,any,3.0,LIR8,related,CD85c,PR:000009812,True
gene,PR:000009804,leukocyte immunoglobulin-like receptor subfamily A member 2,protein,,2.0,any,3.0,LIR7,related,CD85h,PR:000009804,True
gene,PR:000009803,leukocyte immunoglobulin-like receptor subfamily A member 1,protein,,2.0,any,3.0,LIR6,related,CD85i,PR:000009803,True
gene,PR:000009811,leukocyte immunoglobulin-like receptor subfamily B member 4,protein,,2.0,any,3.0,LIR5,related,CD85k,PR:000009811,True
gene,PR:000009805,leukocyte immunoglobulin-like receptor subfamily A member 3,protein,,2.0,any,3.0,LIR4,related,CD85e,PR:000009805,True
gene,PR:000009810,leukocyte immunoglobulin-like receptor subfamily B member 3,protein,,2.0,any,3.0,LIR3,related,CD85a,PR:000009810,True
gene,PR:000009809,leukocyte immunoglobulin-like receptor subfamily B member 2,protein,,2.0,any,3.0,LIR2,related,CD85d,PR:000009809,True
gene,PR:000009808,leukocyte immunoglobulin-like receptor subfamily B member 1,protein,,2.0,any,3.0,LIR1,related,CD85j,PR:000009808,True
gene,PR:000001090,immunoglobulin superfamily member 8,protein,,4.0,any,3.0,LIR-D1,exact,CD316,PR:000001090,True
gene,PR:000009806,leukocyte immunoglobulin-like receptor subfamily A member 5,protein,,4.0,any,3.0,LIR-9,exact,CD85f,PR:000009806,True
gene,PR:000009812,leukocyte immunoglobulin-like receptor subfamily B member 5,protein,,4.0,any,3.0,LIR-8,exact,CD85c,PR:000009812,True
gene,PR:000009804,leukocyte immunoglobulin-like receptor subfamily A member 2,protein,,4.0,any,3.0,LIR-7,exact,CD85h,PR:000009804,True
gene,PR:000009803,leukocyte immunoglobulin-like receptor subfamily A member 1,protein,,4.0,any,3.0,LIR-6,exact,CD85i,PR:000009803,True
gene,PR:000009811,leukocyte immunoglobulin-like receptor subfamily B member 4,protein,,4.0,any,3.0,LIR-5,exact,CD85k,PR:000009811,True
gene,PR:000009805,leukocyte immunoglobulin-like receptor subfamily A member 3,protein,,4.0,any,3.0,LIR-4,exact,CD85e,PR:000009805,True
gene,PR:000009810,leukocyte immunoglobulin-like receptor subfamily B member 3,protein,,4.0,any,3.0,LIR-3,exact,CD85a,PR:000009810,True
gene,PR:000009809,leukocyte immunoglobulin-like receptor subfamily B member 2,protein,,4.0,any,3.0,LIR-2,exact,CD85d,PR:000009809,True
gene,PR:000009808,leukocyte immunoglobulin-like receptor subfamily B member 1,protein,,4.0,any,3.0,LIR-1,exact,CD85j,PR:000009808,True
gene,PR:000014494,lysosome membrane protein 2,protein,,2.0,any,3.0,LIMPII,related,CD36L2,PR:000014494,True
gene,PR:000009806,leukocyte immunoglobulin-like receptor subfamily A member 5,protein,,2.0,any,3.0,LILRB7,related,CD85f,PR:000009806,True
gene,PR:000009812,leukocyte immunoglobulin-like receptor subfamily B member 5,protein,,4.0,any,3.0,LILRB5,exact,CD85c,PR:000009812,True
gene,PR:000009811,leukocyte immunoglobulin-like receptor subfamily B member 4,protein,,4.0,any,3.0,LILRB4,exact,CD85k,PR:000009811,True
gene,PR:000009810,leukocyte immunoglobulin-like receptor subfamily B member 3,protein,,4.0,any,3.0,LILRB3,exact,CD85a,PR:000009810,True
gene,PR:000009809,leukocyte immunoglobulin-like receptor subfamily B member 2,protein,,4.0,any,3.0,LILRB2,exact,CD85d,PR:000009809,True
gene,PR:000009808,leukocyte immunoglobulin-like receptor subfamily B member 1,protein,,4.0,any,3.0,LILRB1,exact,CD85j,PR:000009808,True
gene,PR:000009806,leukocyte immunoglobulin-like receptor subfamily A member 5,protein,,4.0,any,3.0,LILRA5,exact,CD85f,PR:000009806,True
gene,PR:000001398,leukocyte immunoglobulin-like receptor subfamily A member 4,protein,,4.0,any,3.0,LILRA4,exact,CD85g,PR:000001398,True
gene,PR:000009805,leukocyte immunoglobulin-like receptor subfamily A member 3,protein,,4.0,any,3.0,LILRA3,exact,CD85e,PR:000009805,True
gene,PR:000009804,leukocyte immunoglobulin-like receptor subfamily A member 2,protein,,4.0,any,3.0,LILRA2,exact,CD85h,PR:000009804,True
gene,PR:000009803,leukocyte immunoglobulin-like receptor subfamily A member 1,protein,,4.0,any,3.0,LILRA1,exact,CD85i,PR:000009803,True
gene,PR:000002222,tumor necrosis factor ligand superfamily member 14,protein,,2.0,any,3.0,LIGHT,related,CD258,PR:000002222,True
gene,PR:000001876,leukemia inhibitory factor receptor,protein,,4.0,any,3.0,LIFR,exact,CD118,PR:000001876,True
gene,PR:000001876,leukemia inhibitory factor receptor,protein,,4.0,any,3.0,LIF-R,exact,CD118,PR:000001876,True
gene,PR:000001425,ICOS ligand,protein,,4.0,any,3.0,LICOS,exact,CD275,PR:000001425,True
gene,PR:000005235,cadherin-17,protein,,4.0,any,3.0,LI-cadherin,exact,CDH17,PR:000005235,True
gene,PR:000014494,lysosome membrane protein 2,protein,,4.0,any,3.0,LGP85,exact,CD36L2,PR:000014494,True
gene,PR:000002061,lysosome-associated membrane glycoprotein 2,protein,,4.0,any,3.0,LGP-B,exact,CD107b,PR:000002061,True
gene,PR:000002060,lysosome-associated membrane glycoprotein 1,protein,,4.0,any,3.0,LGP-A,exact,CD107a,PR:000002060,True
gene,PR:000002060,lysosome-associated membrane glycoprotein 1,protein,,4.0,any,3.0,LGP-120,exact,CD107a,PR:000002060,True
gene,PR:000001093,lymphocyte function-associated antigen 3,protein,,2.0,any,3.0,LFA3,related,CD58,PR:000001093,True
gene,PR:000001083,CD2 molecule,protein,,4.0,any,3.0,LFA-2,exact,CD2,PR:000001083,True
gene,PR:000001011,integrin alpha-L,protein,,4.0,any,3.0,LFA-1A,exact,CD11a,PR:000001011,True
gene,PR:000001208,C-X-C chemokine receptor type 4,protein,,4.0,any,3.0,LESTR,exact,CD184,PR:000001208,True
gene,PR:000001875,leptin receptor,protein,,4.0,any,3.0,LEPR,exact,CD295,PR:000001875,True
gene,PR:000001875,leptin receptor,protein,,4.0,any,3.0,LEP-R,exact,CD295,PR:000001875,True
gene,PR:000001432,P-selectin,protein,,4.0,any,3.0,LECAM3,exact,CD62P,PR:000001432,True
gene,PR:000001415,E-selectin,protein,,4.0,any,3.0,LECAM2,exact,CD62E,PR:000001415,True
gene,PR:000001318,L-selectin,protein,,4.0,any,3.0,LECAM1,exact,CD62L,PR:000001318,True
gene,PR:000001208,C-X-C chemokine receptor type 4,protein,,4.0,any,3.0,LCR1,exact,CD184,PR:000001208,True
gene,PR:000004337,neutral ceramidase,protein,,4.0,any,3.0,LCDase,exact,NCDase,PR:000004337,True
gene,PR:000009910,lipopolysaccharide-responsive and beige-like anchor protein,protein,,2.0,any,3.0,LBA,related,CDC4L,PR:000009910,True
gene,PR:000015201,large neutral amino acids transporter small subunit 1,protein,,2.0,any,3.0,LAT1,related,CD98LC,PR:000015201,True
gene,PR:000002289,TNF receptor-associated factor 3,protein,,4.0,any,3.0,LAP1,exact,CD40BP,PR:000002289,True
gene,PR:000001882,lysosome-associated membrane glycoprotein 3,protein,,4.0,any,3.0,LAMP3,exact,CD208,PR:000001882,True
gene,PR:000002061,lysosome-associated membrane glycoprotein 2,protein,,4.0,any,3.0,LAMP2,exact,CD107b,PR:000002061,True
gene,PR:000002060,lysosome-associated membrane glycoprotein 1,protein,,4.0,any,3.0,LAMP1,exact,CD107a,PR:000002060,True
gene,PR:000001882,lysosome-associated membrane glycoprotein 3,protein,,4.0,any,3.0,LAMP-3,exact,CD208,PR:000001882,True
gene,PR:000002061,lysosome-associated membrane glycoprotein 2,protein,,4.0,any,3.0,LAMP-2,exact,CD107b,PR:000002061,True
gene,PR:000002060,lysosome-associated membrane glycoprotein 1,protein,,4.0,any,3.0,LAMP-1,exact,CD107a,PR:000002060,True
gene,PR:000001318,L-selectin,protein,,4.0,any,3.0,LAM-1,exact,CD62L,PR:000001318,True
gene,PR:000001878,leukocyte-associated immunoglobulin-like receptor 2,protein,,4.0,any,3.0,LAIR2,exact,CD306,PR:000001878,True
gene,PR:000001877,leukocyte-associated immunoglobulin-like receptor 1,protein,,4.0,any,3.0,LAIR1,exact,CD305,PR:000001877,True
gene,PR:000001878,leukocyte-associated immunoglobulin-like receptor 2,protein,,4.0,any,3.0,LAIR-2,exact,CD306,PR:000001878,True
gene,PR:000001877,leukocyte-associated immunoglobulin-like receptor 1,protein,,4.0,any,3.0,LAIR-1,exact,CD305,PR:000001877,True
gene,PR:000001881,lymphocyte activation gene 3 protein,protein,,4.0,any,3.0,LAG3,exact,CD223,PR:000001881,True
gene,PR:000001881,lymphocyte activation gene 3 protein,protein,,4.0,any,3.0,LAG-3,exact,CD223,PR:000001881,True
gene,PR:000001438,CD80 molecule,protein,,2.0,any,3.0,LAB7,related,CD80,PR:000001438,True
gene,PR:000010612,"39S ribosomal protein L51, mitochondrial",protein,,4.0,any,3.0,L51mt,exact,MRP64,PR:000010612,True
gene,PR:000010600,"39S ribosomal protein L4, mitochondrial",protein,,4.0,any,3.0,L4mt,exact,L4mt,PR:000010600,True
gene,PR:000006716,denticleless protein,protein,,2.0,any,3.0,L2DTL,related,CDW1,PR:000006716,True
gene,PR:000002066,neural cell adhesion molecule L1,protein,,4.0,any,3.0,L1CAM,exact,CD171,PR:000002066,True
gene,PR:000001318,L-selectin,protein,,5.0,any,3.0,L-selectin,label,CD62L,PR:000001318,True
gene,PR:000001294,C-type lectin domain family 4 member M,protein,,4.0,any,3.0,L-SIGN,exact,CD299,PR:000001294,True
gene,PR:000001006,receptor-type tyrosine-protein phosphatase C,protein,,4.0,any,3.0,L-CA,exact,CD45,PR:000001006,True
gene,PR:000005234,cadherin-16,protein,,4.0,any,3.0,Ksp-cadherin,exact,CDH16,PR:000005234,True
gene,PR:000016495,non-receptor tyrosine-protein kinase TNK1,protein,,2.0,any,3.0,Kos1,related,TNK1,PR:000016495,True
gene,PR:000009626,killer cell lectin-like receptor subfamily B member 1F,protein,,4.0,any,3.0,Klrb1f,exact,CD161f,PR:000009626,True
gene,PR:000002977,killer cell lectin-like receptor subfamily B member 1C,protein,,4.0,any,3.0,Klrb1c,exact,CD161c,PR:000002977,True
gene,PR:000009624,killer cell lectin-like receptor subfamily B member 1A,protein,,4.0,any,3.0,Klrb1a,exact,CD161a,PR:000009624,True
gene,PR:000005270,cyclin-dependent kinase-like 2,protein,,2.0,any,3.0,Kkm,related,CDKL2,PR:000005270,True
gene,PR:000005270,cyclin-dependent kinase-like 2,protein,,2.0,any,3.0,Kkiamre,related,CDKL2,PR:000005270,True
gene,PR:000002082,receptor tyrosine-protein kinase erbB-2,protein,,2.0,any,3.0,Kiaa3023,related,CD340,PR:000002082,True
gene,PR:000001202,C-C chemokine receptor type 6,protein,,4.0,any,3.0,KY411,exact,CD196,PR:000001202,True
gene,PR:000001278,disintegrin and metalloproteinase domain-containing protein 10,protein,,2.0,any,3.0,KUZ,related,CDw156,PR:000001278,True
gene,PR:000001449,fibroblast growth factor receptor 2,protein,,2.0,any,3.0,KSAM,related,CD332,PR:000001449,True
gene,PR:000001559,epithelial cell adhesion molecule,protein,,4.0,any,3.0,KSA,exact,CD326,PR:000001559,True
gene,PR:000009868,serine/threonine-protein kinase LMTK2,protein,,2.0,any,3.0,KPI2,related,LMR2,PR:000009868,True
gene,PR:000001402,killer cell lectin-like receptor subfamily D member 1,protein,,4.0,any,3.0,KP43,exact,CD94,PR:000001402,True
gene,PR:000001828,NKG2-D type II integral membrane protein,protein,,4.0,any,3.0,KLRK1,exact,CD314,PR:000001828,True
gene,PR:000001402,killer cell lectin-like receptor subfamily D member 1,protein,,4.0,any,3.0,KLRD1,exact,CD94,PR:000001402,True
gene,PR:000002024,NKG2-C type II integral membrane protein,protein,,4.0,any,3.0,KLRC2,exact,CD159c,PR:000002024,True
gene,PR:000002023,NKG2-A/NKG2-B type II integral membrane protein,protein,,4.0,any,3.0,KLRC1,exact,CD159a,PR:000002023,True
gene,PR:000025670,killer cell lectin-like receptor subfamily B member 1,protein,,4.0,any,3.0,KLRB1,exact,KLRB1,PR:000025670,True
gene,PR:000009335,killer cell immunoglobulin-like receptor 2DS4,protein,,2.0,any,3.0,KKA3,related,CD158i,PR:000009335,True
gene,PR:000002065,mast/stem cell growth factor receptor,protein,,4.0,any,3.0,KIT,exact,CD117,PR:000002065,True
gene,PR:000009329,killer cell immunoglobulin-like receptor 2DL3,protein,,2.0,any,3.0,KIRCL23,related,CD158b2,PR:000009329,True
gene,PR:000009339,killer cell immunoglobulin-like receptor 3DL3,protein,,2.0,any,3.0,KIRC1,related,CD158z,PR:000009339,True
gene,PR:000009339,killer cell immunoglobulin-like receptor 3DL3,protein,,2.0,any,3.0,KIR3DL7,related,CD158z,PR:000009339,True
gene,PR:000009339,killer cell immunoglobulin-like receptor 3DL3,protein,,4.0,any,3.0,KIR3DL3,exact,CD158z,PR:000009339,True
gene,PR:000009338,killer cell immunoglobulin-like receptor 3DL2,protein,,4.0,any,3.0,KIR3DL2,exact,CD158k,PR:000009338,True
gene,PR:000009337,killer cell immunoglobulin-like receptor 3DL1,protein,,4.0,any,3.0,KIR3DL1,exact,CD158e,PR:000009337,True
gene,PR:000009336,killer cell immunoglobulin-like receptor 2DS5,protein,,4.0,any,3.0,KIR2DS5,exact,CD158g,PR:000009336,True
gene,PR:000009335,killer cell immunoglobulin-like receptor 2DS4,protein,,4.0,any,3.0,KIR2DS4,exact,CD158i,PR:000009335,True
gene,PR:000009333,killer cell immunoglobulin-like receptor 2DS2,protein,,4.0,any,3.0,KIR2DS2,exact,CD158j,PR:000009333,True
gene,PR:000009332,killer cell immunoglobulin-like receptor 2DS1,protein,,4.0,any,3.0,KIR2DS1,exact,CD158h,PR:000009332,True
gene,PR:000031657,killer cell immunoglobulin-like receptor 2DL5B,protein,,2.0,any,3.0,KIR2DLX,related,CD158F,PR:000031657,True
gene,PR:000031657,killer cell immunoglobulin-like receptor 2DL5B,protein,,4.0,any,3.0,KIR2DL5B,exact,CD158F,PR:000031657,True
gene,PR:000009331,killer cell immunoglobulin-like receptor 2DL5A,protein,,4.0,any,3.0,KIR2DL5A,exact,CD158f1,PR:000009331,True
gene,PR:000031657,killer cell immunoglobulin-like receptor 2DL5B,protein,,2.0,any,3.0,KIR2DL5,related,CD158F,PR:000031657,True
gene,PR:000009330,killer cell immunoglobulin-like receptor 2DL4,protein,,4.0,any,3.0,KIR2DL4,exact,CD158d,PR:000009330,True
gene,PR:000009329,killer cell immunoglobulin-like receptor 2DL3,protein,,4.0,any,3.0,KIR2DL3,exact,CD158b2,PR:000009329,True
gene,PR:000009328,killer cell immunoglobulin-like receptor 2DL2,protein,,4.0,any,3.0,KIR2DL2,exact,CD158b1,PR:000009328,True
gene,PR:000009327,killer cell immunoglobulin-like receptor 2DL1,protein,,4.0,any,3.0,KIR2DL1,exact,CD158a,PR:000009327,True
gene,PR:000009330,killer cell immunoglobulin-like receptor 2DL4,protein,,2.0,any,3.0,KIR103AS,related,CD158d,PR:000009330,True
gene,PR:000009330,killer cell immunoglobulin-like receptor 2DL4,protein,,4.0,any,3.0,KIR-103AS,exact,CD158d,PR:000009330,True
gene,PR:000009329,killer cell immunoglobulin-like receptor 2DL3,protein,,4.0,any,3.0,KIR-023GB,exact,CD158b2,PR:000009329,True
gene,PR:000003090,cyclin-dependent kinase inhibitor 1B,protein,,2.0,any,3.0,KIP1,related,CDKN1B,PR:000003090,True
organism-gene,PR:Q96D42,hepatitis A virus cellular receptor 1 (human),protein,PR:000008453,2.0,human,2.0,KIM1,related,CD365,PR:Q96D42,True
organism-gene,PR:Q96D42,hepatitis A virus cellular receptor 1 (human),protein,PR:000008453,4.0,human,2.0,KIM-1,exact,CD365,PR:Q96D42,True
gene,PR:000002109,tumor necrosis factor receptor superfamily member 10B,protein,,2.0,any,3.0,KILLER,related,CD262,PR:000002109,True
organism-gene,PR:O95400,CD2 antigen cytoplasmic tail-binding protein 2 (human),protein,PR:000005164,2.0,human,2.0,KIAA1178,related,hCD2BP2,PR:O95400,True
organism-gene,PR:Q9Y5S2,serine/threonine-protein kinase MRCK beta (human),protein,PR:000005206,2.0,human,2.0,KIAA1124,related,hCDC42BPB,PR:Q9Y5S2,True
organism-gene,PR:Q9BWU1,cyclin-dependent kinase 19 (human),protein,PR:000005199,2.0,human,2.0,KIAA1028,related,hCDK19,PR:Q9BWU1,True
organism-gene,PR:Q86YS7,C2 domain-containing protein 5 (human),protein,PR:000039860,2.0,human,2.0,KIAA0528,related,hC2CD5,PR:Q86YS7,True
organism-gene,PR:P37802,transgelin-2 (human),protein,PR:000016040,2.0,human,2.0,KIAA0120,related,CDABP0035,PR:P37802,True
gene,PR:000001449,fibroblast growth factor receptor 2,protein,,2.0,any,3.0,KGFR,related,CD332,PR:000001449,True
gene,PR:000001873,kell blood group glycoprotein,protein,,4.0,any,3.0,KEL,exact,CD238,PR:000001873,True
gene,PR:000002112,vascular endothelial growth factor receptor 2,protein,,4.0,any,3.0,KDR,exact,CD309,PR:000002112,True
gene,PR:000001090,immunoglobulin superfamily member 8,protein,,2.0,any,3.0,KCT4,related,CD316,PR:000001090,True
gene,PR:000001090,immunoglobulin superfamily member 8,protein,,4.0,any,3.0,KCT-4,exact,CD316,PR:000001090,True
gene,PR:000014913,SLAM family member 6,protein,,2.0,any,3.0,KALI,related,CD352,PR:000014913,True
gene,PR:000005177,CD82 molecule,protein,,2.0,any,3.0,KAI1,related,CD82,PR:000005177,True
gene,PR:000001200,C-C chemokine receptor type 4,protein,,4.0,any,3.0,K5-5,exact,CD194,PR:000001200,True
organism-gene,PR:Q9LK22,plant UBX domain-containing protein 1 (Arabidopsis thaliana),protein,,2.0,any,3.0,K17E12.13,related,At-PUX1,PR:Q9LK22,True
organism-gene,PR:Q9FIM9,CDPK-related kinase 4 (Arabidopsis thaliana),protein,,2.0,any,3.0,K16H17.14,related,CDPK-related kinase 4 (Arabidopsis thaliana),PR:Q9FIM9,True
gene,PR:000001449,fibroblast growth factor receptor 2,protein,,4.0,any,3.0,K-sam,exact,CD332,PR:000001449,True
gene,PR:000005247,cadherin-6,protein,,4.0,any,3.0,K-cadherin,exact,CDH6,PR:000005247,True
gene,PR:000001871,junctional adhesion molecule A,protein,,2.0,any,3.0,Jcam1,related,CD321,PR:000001871,True
gene,PR:000001921,protein jagged-1,protein,,4.0,any,3.0,Jagged1,exact,CD339,PR:000001921,True
gene,PR:000001450,fibroblast growth factor receptor 3,protein,,2.0,any,3.0,JTK4,related,CD333,PR:000001450,True
gene,PR:000001451,fibroblast growth factor receptor 4,protein,,2.0,any,3.0,JTK2,related,CD334,PR:000001451,True
gene,PR:000005225,cell division cycle-associated 7-like protein,protein,,2.0,any,3.0,JPO2,related,CDCA7L,PR:000005225,True
gene,PR:000005224,cell division cycle-associated protein 7,protein,,2.0,any,3.0,JPO1,related,CDCA7,PR:000005224,True
gene,PR:000009203,JNK1/MAPK8-associated membrane protein,protein,,4.0,any,3.0,JKAMP,exact,JAMP,PR:000009203,True
gene,PR:000001871,junctional adhesion molecule A,protein,,2.0,any,3.0,JCAM,related,CD321,PR:000001871,True
gene,PR:000009203,JNK1/MAPK8-associated membrane protein,protein,,2.0,any,3.0,JAMP,related,JAMP,PR:000009203,True
gene,PR:000001872,junctional adhesion molecule B,protein,,4.0,any,3.0,JAM2,exact,CD322,PR:000001872,True
gene,PR:000001871,junctional adhesion molecule A,protein,,2.0,any,3.0,JAM1,related,CD321,PR:000001871,True
gene,PR:000001872,junctional adhesion molecule B,protein,,4.0,any,3.0,JAM-B,exact,CD322,PR:000001872,True
gene,PR:000001871,junctional adhesion molecule A,protein,,4.0,any,3.0,JAM-A,exact,CD321,PR:000001871,True
gene,PR:000001871,junctional adhesion molecule A,protein,,4.0,any,3.0,JAM-1,exact,CD321,PR:000001871,True
gene,PR:000001921,protein jagged-1,protein,,2.0,any,3.0,JAGL1,related,CD339,PR:000001921,True
gene,PR:000001921,protein jagged-1,protein,,4.0,any,3.0,JAG1,exact,CD339,PR:000001921,True
gene,PR:000001394,interleukin-6 receptor subunit alpha,protein,,2.0,any,3.0,Il6ra,related,CD126,PR:000001394,True
gene,PR:000001339,cytokine receptor common subunit beta,protein,,2.0,any,3.0,Il3rb1,related,CD131,PR:000001339,True
gene,PR:000001380,interleukin-2 receptor subunit alpha,protein,,2.0,any,3.0,Il2r,related,CD25,PR:000001380,True
gene,PR:000001364,interleukin-1 receptor type II,protein,,2.0,any,3.0,Il-1r2,related,CD121b,PR:000001364,True
gene,PR:000001363,interleukin-1 receptor type I,protein,,2.0,any,3.0,Il-1r1,related,CD121a,PR:000001363,True
gene,PR:000004932,CDK5 and ABL1 enzyme substrate 2,protein,,4.0,any,3.0,Ik3-2,exact,CDK5 and ABL1 enzyme substrate 2,PR:000004932,True
gene,PR:000004931,CDK5 and ABL1 enzyme substrate 1,protein,,4.0,any,3.0,Ik3-1,exact,CDK5 and ABL1 enzyme substrate 1,PR:000004931,True
gene,PR:000001859,immunoglobulin lambda-like polypeptide 1,protein,,2.0,any,3.0,Igl-5,related,CD179b,PR:000001859,True
gene,PR:000009181,immunoglobulin-binding protein 1b,protein,,4.0,any,3.0,Igbp1b,exact,Igbp1b,PR:000009181,True
gene,PR:000001090,immunoglobulin superfamily member 8,protein,,4.0,any,3.0,IgSF8,exact,CD316,PR:000001090,True
gene,PR:000001089,immunoglobulin superfamily member 2,protein,,1.0,any,3.0,IgSF2,broad,CD101,PR:000001089,True
